TITLE     = ""
VARIABLES = "cycle"
"plunge [mm]"
"pitch [deg]"
"lift [N]"
ZONE T="Run 0881"
 STRANDID=0, SOLUTIONTIME=0
 I=6144, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -9.147999883E-001 4.120009995E+001 1.512909985E+001 1.668750048E-001
 -9.143000245E-001 4.112599945E+001 1.520450020E+001 1.642708331E-001
 -9.138000011E-001 4.104600143E+001 1.528999996E+001 1.616666764E-001
 -9.132999778E-001 4.096680069E+001 1.537220001E+001 1.590625048E-001
 -9.128000140E-001 4.088579941E+001 1.545779991E+001 1.564583331E-001
 -9.122999907E-001 4.080860138E+001 1.553670025E+001 1.538541615E-001
 -9.118000269E-001 4.073469925E+001 1.560729980E+001 1.513541639E-001
 -9.113000035E-001 4.065679932E+001 1.568130016E+001 1.488541663E-001
 -9.107999802E-001 4.057870102E+001 1.576379967E+001 1.463541538E-001
 -9.103999734E-001 4.050500107E+001 1.583790016E+001 1.439583302E-001
 -9.099000096E-001 4.042879868E+001 1.590530014E+001 1.416666806E-001
 -9.093999863E-001 4.035250092E+001 1.598110008E+001 1.393750012E-001
 -9.089000225E-001 4.027629852E+001 1.606040001E+001 1.372916698E-001
 -9.083999991E-001 4.019729996E+001 1.614649963E+001 1.352083385E-001
 -9.078999758E-001 4.012250137E+001 1.620899963E+001 1.331250072E-001
 -9.074000120E-001 4.004479980E+001 1.629019928E+001 1.311458349E-001
 -9.068999887E-001 3.996939850E+001 1.637479973E+001 1.293749958E-001
 -9.064999819E-001 3.989139938E+001 1.644930077E+001 1.276041716E-001
 -9.060000181E-001 3.981050110E+001 1.653059959E+001 1.258333325E-001
 -9.054999948E-001 3.973590088E+001 1.660849953E+001 1.242708340E-001
 -9.049999714E-001 3.966310120E+001 1.668320084E+001 1.227083281E-001
 -9.045000076E-001 3.958219910E+001 1.676469994E+001 1.212500036E-001
 -9.039999843E-001 3.950379944E+001 1.684110069E+001 1.197916716E-001
 -9.035000205E-001 3.942060089E+001 1.693120003E+001 1.184374988E-001
 -9.029999971E-001 3.933789825E+001 1.700779915E+001 1.171875000E-001
 -9.024999738E-001 3.925650024E+001 1.707929993E+001 1.159375012E-001
 -9.020999670E-001 3.917070007E+001 1.715940094E+001 1.146875024E-001
 -9.016000032E-001 3.909099960E+001 1.722080040E+001 1.135416627E-001
 -9.010999799E-001 3.900400162E+001 1.729759979E+001 1.123958379E-001
 -9.006000161E-001 3.891579819E+001 1.737100029E+001 1.112499982E-001
 -9.000999928E-001 3.882839966E+001 1.744099998E+001 1.102083325E-001
 -8.995999694E-001 3.874039841E+001 1.751799965E+001 1.091666669E-001
 -8.991000056E-001 3.865219879E+001 1.759160042E+001 1.080208272E-001
 -8.985999823E-001 3.856349945E+001 1.766690063E+001 1.070833281E-001
 -8.981999755E-001 3.847309875E+001 1.774060059E+001 1.060416698E-001
 -8.977000117E-001 3.838380051E+001 1.781430054E+001 1.049999967E-001
 -8.971999884E-001 3.829629898E+001 1.788129997E+001 1.040624976E-001
 -8.967000246E-001 3.820740128E+001 1.795339966E+001 1.031249985E-001
 -8.962000012E-001 3.811899948E+001 1.802379990E+001 1.022916660E-001
 -8.956999779E-001 3.802709961E+001 1.809950066E+001 1.013541669E-001
 -8.952000141E-001 3.794340134E+001 1.816839981E+001 1.005208343E-001
 -8.946999907E-001 3.785540009E+001 1.823730087E+001 9.979166090E-002
 -8.941999674E-001 3.776589966E+001 1.830800056E+001 9.906250238E-002
 -8.938000202E-001 3.767919922E+001 1.837179947E+001 9.833333641E-002
 -8.932999969E-001 3.759619904E+001 1.843390083E+001 9.770833701E-002
 -8.927999735E-001 3.750910187E+001 1.849959946E+001 9.708333015E-002
 -8.923000097E-001 3.742169952E+001 1.857040024E+001 9.656249732E-002
 -8.917999864E-001 3.733290100E+001 1.864649963E+001 9.604167193E-002
 -8.913000226E-001 3.724069977E+001 1.872789955E+001 9.562499821E-002
 -8.907999992E-001 3.715520096E+001 1.879549980E+001 9.520833194E-002
 -8.902999759E-001 3.706760025E+001 1.886310005E+001 9.489583224E-002
